"team id","tean name","team group","team affiliation","award","team members"
"83","*华师一复兴队","打星队伍","华中师范大学第一附属中学","World Champion","徐骁扬、师小川、李承熙"
"149","逆命","正式队伍","上海交通大学","1st Place","杨宗翰、张明驰、张建军"
"39","绿豆沙","正式队伍","广东工业大学","2nd Place","林俊耿、杨子弘、肖能翔"
"148","CRYCHIC","正式队伍","上海交通大学","3rd Place","杨崇烨、刘家宁、柳烨"
"83","*华师一复兴队","打星队伍","华中师范大学第一附属中学","Gold Medalist","徐骁扬、师小川、李承熙"
"149","逆命","正式队伍","上海交通大学","Gold Medalist","杨宗翰、张明驰、张建军"
"39","绿豆沙","正式队伍","广东工业大学","Gold Medalist","林俊耿、杨子弘、肖能翔"
"148","CRYCHIC","正式队伍","上海交通大学","Gold Medalist","杨崇烨、刘家宁、柳烨"
"111","错误","正式队伍","南京航空航天大学","Gold Medalist","胡昊天、赵乐坤、吕俊琪"
"10","吃得真香","正式队伍","北京航空航天大学","Gold Medalist","吴昊恒、董雨润、李秉翰"
"48","算法竞赛老萌新","正式队伍","杭州电子科技大学","Gold Medalist","高义雄、祁影影"
"99","逸一时误一时","正式队伍","江西师范大学","Gold Medalist","陈哲、陈策远、陈绿海"
"118","PTY & Msstt & Frb","正式队伍","南京信息工程大学","Gold Medalist","洪伟、马天顺、方任斌"
"127","*本场题目改编成两场牛客周赛","打星队伍","牛客竞赛","Gold Medalist","司马晨、常毅威、刘笑语"
"68","栀晓 II","正式队伍","湖南师范大学","Gold Medalist","唐熙林、魏佳蕾、杨泽旭"
"135","SDOI2022","正式队伍","山东大学","Gold Medalist","李玉庭、杨昀淇、孔轲祎"
"15","好好想想","正式队伍","北京邮电大学","Gold Medalist","司睿洋、尹昱钦、张泽文"
"174","机械降神","正式队伍","武汉理工大学","Gold Medalist","闫卢昊、朱振傲、侯哲昊"
"80","明明如月","正式队伍","华中师范大学","Gold Medalist","郭子寒、王彬宇、曹俞欣"
"26","*七八九","打星队伍","代码源","Gold Medalist","许由、周人豪、李知轩"
"229","君与彼ICPC与彼ICPC之恋","正式队伍","重庆邮电大学","Gold Medalist","罗昊、江骏扬、杨博松"
"28","UESTC_十斤鸭梨","正式队伍","电子科技大学","Gold Medalist","黄霖、徐辰烨、祁泓金"
